houseNumberId,houseNumberLabel,houseNumberGeomWKT
https://www.openstreetmap.org/node/10788880817,13,POINT(2.375497 48.879419)
https://www.openstreetmap.org/node/10788880821,15,POINT(2.375515 48.879531)
https://www.openstreetmap.org/node/10789022375,72 bis,POINT(2.360143 48.889425)
https://www.openstreetmap.org/node/10797798456,86 T,POINT(2.349209 48.898438)
https://www.openstreetmap.org/node/10807191829,84,POINT(2.378612 48.887030)
https://www.openstreetmap.org/node/1080955957,78,POINT(2.318808 48.886758)
https://www.openstreetmap.org/node/1080955959,15 Bis,POINT(2.312044 48.882780)
https://www.openstreetmap.org/node/1080955969,94,POINT(2.319835 48.887358)
https://www.openstreetmap.org/node/1080955971,93,POINT(2.320839 48.888082)
https://www.openstreetmap.org/node/1080955980,103,POINT(2.321784 48.888633)
https://www.openstreetmap.org/node/1080955981,121,POINT(2.323055 48.889443)
https://www.openstreetmap.org/node/1080955982,191,POINT(2.326791 48.892606)
https://www.openstreetmap.org/node/1080955983,131,POINT(2.323674 48.889923)
https://www.openstreetmap.org/node/1080955986,23 Bis,POINT(2.313813 48.883985)
https://www.openstreetmap.org/node/1080955991,162,POINT(2.324939 48.890731)
https://www.openstreetmap.org/node/1080955992,40-42,POINT(2.315062 48.884531)
https://www.openstreetmap.org/node/1080955999,165,POINT(2.325399 48.891298)
https://www.openstreetmap.org/node/1080956000,52,POINT(2.315865 48.885037)
https://www.openstreetmap.org/node/1080956001,74,POINT(2.318065 48.886324)
https://www.openstreetmap.org/node/1080956006,88,POINT(2.319334 48.887068)
https://www.openstreetmap.org/node/1080956008,5,POINT(2.313556 48.883430)
https://www.openstreetmap.org/node/1080956013,106,POINT(2.320736 48.887880)
https://www.openstreetmap.org/node/1080956015,97,POINT(2.321218 48.888301)
https://www.openstreetmap.org/node/1080956017,128,POINT(2.322347 48.888781)
https://www.openstreetmap.org/node/1080956024,194,POINT(2.326551 48.892192)
https://www.openstreetmap.org/node/1080956028,127,POINT(2.323454 48.889753)
https://www.openstreetmap.org/node/1080956031,150,POINT(2.324151 48.890125)
https://www.openstreetmap.org/node/1080956035,34,POINT(2.314495 48.884234)
